box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
6,1,5.01675453549469879e+01,0,2.21213960000000007e+01,8.30505981746830990e+00,1.17463175621586693e+01,1.60405419155042445e-01,1.97326240194344784e+01,4.92821741780043610e+00
38,1,3.35913286273167699e+00,0,3.03265139999999995e+01,8.01696605573037324e+00,1.22342678454385982e+01,9.70348121770177319e-02,1.85582389491662951e+01,3.75383234753225281e+00
70,1,4.26829121388438111e+01,0,3.71323239999999970e+01,8.02225685840234171e+00,1.22553830493198532e+01,1.16282834780050082e-01,1.91796253416105067e+01,4.37521873997646438e+00
102,1,4.76863219260300397e+01,0,4.37027089999999987e+01,8.08922764314688969e+00,1.20843149226789386e+01,1.57360630942143226e-01,1.97332880734386009e+01,4.92888147180455860e+00
134,1,2.15553428956944053e+01,1,6.45636750000000035e+01,8.27766241099674538e+00,1.18984319704474384e+01,1.09035530335786945e-01,1.92769482556652783e+01,4.47254165403123594e+00
166,1,3.20184600475400671e+01,1,9.44772480000000030e+01,8.19943667058872983e+00,1.21077945769496651e+01,1.18239709973781568e-01,1.94739559378741625e+01,4.66954933624012014e+00
198,1,3.79079649353227737e+01,0,1.00899383000000000e+02,7.92330937983545169e+00,1.24144729932031073e+01,1.63333097489186702e-01,1.97340790568355970e+01,4.92967245520155473e+00
230,1,1.48311158756598971e+01,1,1.21452867999999995e+02,8.03044681614263034e+00,1.23534862384624269e+01,1.06051062131767126e-01,1.88518846783287017e+01,4.04747807669465942e+00
262,1,3.93720092199540588e+01,1,1.51262548000000010e+02,8.15817211267751041e+00,1.21579049969960167e+01,1.18961349121819826e-01,1.93954175481192053e+01,4.59101094648516295e+00
294,1,1.59519772315412887e+01,0,1.57687681999999995e+02,8.12678252699563330e+00,1.20909913293433053e+01,1.62083670545402819e-01,1.97331556062367213e+01,4.92874900460267895e+00
326,1,4.50211368179213167e+01,1,1.87438288000000000e+02,8.04074013273292643e+00,1.24538495389048798e+01,1.06466383981193069e-01,1.91615965072248002e+01,4.35718990559075792e+00
358,1,2.36402950394752054e+01,1,2.07671712000000014e+02,7.93611025664079861e+00,1.25828347175340358e+01,1.20374280846995585e-01,1.90199503893991135e+01,4.21554378776507122e+00
390,1,7.44119123804698290e+00,1,2.27883713000000000e+02,7.94718695865327174e+00,1.24875647829496916e+01,1.64863697839159357e-01,1.97342607444005971e+01,4.92985414276655476e+00
422,1,3.97112067633044816e+01,1,2.57601365999999985e+02,8.20502471978879555e+00,1.21403422025364431e+01,1.09995979779532349e-01,1.93807836428684404e+01,4.57637704123439804e+00
454,1,1.75574276664253119e+01,1,2.87445783000000006e+02,8.09475970899212172e+00,1.23754920229237353e+01,1.19409733347580538e-01,1.94083575919469702e+01,4.60395099031292787e+00
486,1,2.48902893995783714e+01,1,3.07670236999999986e+02,7.81405486734599108e+00,1.28325547992154654e+01,1.73071856061532775e-01,1.97354032757387863e+01,4.93099667410474396e+00
518,1,4.82991651861781435e+00,1,3.32855300000000000e+02,7.94744908935396399e+00,1.27297724807093822e+01,1.08041112911702319e-01,1.85384879488051340e+01,3.73408134717109164e+00
550,1,1.73623314870140888e+01,1,3.62711052999999993e+02,8.02132280529587760e+00,1.25065808474842530e+01,1.18533658488946120e-01,1.93066845121837112e+01,4.50227791054966886e+00
582,1,2.09568740089081409e+01,0,3.69080824000000007e+02,8.04965471648669428e+00,1.23053879876554610e+01,1.69314022514416462e-01,1.97338036733734405e+01,4.92939707173939823e+00
614,1,7.68029060966765087e+00,1,3.89477434000000017e+02,7.88208025798943002e+00,1.27382924668387201e+01,1.05035963711752306e-01,1.84908081951565038e+01,3.68640159352246144e+00
646,1,2.43173553075258582e+01,0,3.95941827999999987e+02,7.69056466943131767e+00,1.31345241236014445e+01,1.14557110733278913e-01,1.83317407490665083e+01,3.52733414743246598e+00
678,1,1.66776052959717980e+01,1,4.16095660000000009e+02,7.81400831050918132e+00,1.28803208603288208e+01,1.73595863145952184e-01,1.97354729338889499e+01,4.93106633225490754e+00
710,1,1.28249012641909985e+01,1,4.36444740000000024e+02,8.12291816937963596e+00,1.22713340122624306e+01,1.13172145457592688e-01,1.91357052487158477e+01,4.33129864708180534e+00
742,1,1.59780636000069016e+01,1,4.56758706000000018e+02,8.04221544932976684e+00,1.24636782801978185e+01,1.27043035795844250e-01,1.92469617923200289e+01,4.44255519068598659e+00
774,1,7.78790248179552549e+01,0,4.63051537999999994e+02,7.73411761680069176e+00,1.32286753670555957e+01,1.80381761791988421e-01,1.97366342069208542e+01,4.93222760528681192e+00
806,1,5.12228301063650946e+01,0,4.69501263999999992e+02,7.76218064452344336e+00,1.30316272500252630e+01,1.03653551824982648e-01,1.83185114825881890e+01,3.51410488095414664e+00
838,1,1.52698931366351154e+01,1,4.89888158999999973e+02,7.93597535841868407e+00,1.26626024268735407e+01,1.23685668188465520e-01,1.90814182030383996e+01,4.27701160140435732e+00
870,1,3.99320178435616171e+01,0,4.96325677999999982e+02,8.06719300044412968e+00,1.23206891998020449e+01,1.74727025762042354e-01,1.97340963999766785e+01,4.92968979834263621e+00
902,1,1.81128955123251387e+01,0,5.02821838000000014e+02,7.78085519298952555e+00,1.29488110029002357e+01,1.01748630187334044e-01,1.83273939582857963e+01,3.52298735665175400e+00
934,1,8.09295264458552879e+01,0,5.09247280999999987e+02,7.73271026182184062e+00,1.31331522030130756e+01,1.21455323369866738e-01,1.86932646239419142e+01,3.88885802230787192e+00
