box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
31,1,1.68003743743866849e+01,1,6.00948950000000011e+01,8.11239049256413836e+00,1.20304802268043698e+01,1.54789463339854216e-01,1.60000000000000000e+01,1.19559339836595768e+00
71,1,2.68469164864324057e+01,1,1.04975539999999995e+02,8.00613026078689316e+00,1.23097485716915980e+01,1.04386290630683609e-01,1.60000000000000000e+01,1.19559339836595768e+00
111,1,2.22670238353176586e+01,1,1.43855140000000006e+02,8.14969839677673846e+00,1.20585078652587541e+01,1.16524249631561633e-01,1.60000000000000000e+01,1.19559339836595768e+00
151,1,3.62859849266066590e+01,1,1.99699600000000004e+02,8.29978418808760843e+00,1.18716869930785958e+01,1.61515719311358358e-01,1.60000000000000000e+01,1.19559339836595768e+00
191,1,2.31831478619841391e+01,1,2.31148063000000008e+02,8.01956262932742447e+00,1.23414619862791106e+01,1.03524075661348858e-01,1.60000000000000000e+01,1.19559339836595768e+00
231,1,3.58508233598324040e+01,1,2.78068079000000012e+02,7.99467304223110187e+00,1.23668245437473026e+01,1.17059160141930976e-01,1.60000000000000000e+01,1.19559339836595768e+00
271,1,1.51562689017036831e+01,1,3.41413920000000019e+02,8.07917846005522122e+00,1.21156878844170226e+01,1.59565566572568623e-01,1.60000000000000000e+01,1.19559339836595768e+00
311,1,9.87956630361034627e+00,1,3.88160190000000000e+02,8.05271233604597114e+00,1.23005075735751603e+01,1.04111290979239240e-01,1.60000000000000000e+01,1.19559339836595768e+00
351,1,1.84402569786465307e+01,1,4.41937762000000021e+02,7.77453364715002770e+00,1.28019828448500803e+01,1.09546088176293382e-01,1.60000000000000000e+01,1.19559339836595768e+00
391,1,1.91706054235361734e+00,2,5.92805134999999950e+02,7.85366731897643433e+00,1.26770919204383166e+01,1.61099633648926016e-01,1.60000000000000000e+01,1.19559339836595768e+00
431,1,2.05534237479418991e+00,2,7.28773243999999977e+02,7.99784855679290185e+00,1.22834433657132873e+01,9.90035087650767698e-02,1.60000000000000000e+01,1.19559339836595768e+00
471,1,1.88933407345930426e+01,1,7.52346869999999967e+02,7.83518607856256466e+00,1.26845146381735674e+01,1.13607489462016834e-01,1.60000000000000000e+01,1.19559339836595768e+00
511,1,4.84805315960532042e+01,1,7.70692226000000005e+02,7.69617070332480502e+00,1.30326455342208245e+01,1.72129985067188934e-01,1.60000000000000000e+01,1.19559339836595768e+00
551,1,3.40106107800753819e+01,1,7.94450946000000044e+02,7.94718453013189485e+00,1.25170305654891543e+01,1.03042486211008866e-01,1.60000000000000000e+01,1.19559339836595768e+00
591,1,1.17940803870892807e+00,1,8.08301123999999959e+02,7.85349950621619808e+00,1.26407425585425326e+01,1.11092040986582152e-01,1.60000000000000000e+01,1.19559339836595768e+00
