box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
48,1,2.08169227189200612e+01,1,7.26104679999999973e+01,8.12829280014599220e+00,1.21862984618816057e+01
96,1,3.85348080033298857e+00,0,8.70704099999999954e+01,7.98415795089559754e+00,1.23376812547302226e+01
144,1,2.59852287255545953e+01,2,4.78376180999999974e+02,8.11373582568474205e+00,1.20419137806961825e+01
192,1,1.25073156222654660e+01,1,5.57693642999999952e+02,8.04893977523430415e+00,1.23498310004906315e+01
240,1,2.85150138922493852e+01,1,5.92345545000000016e+02,7.90011781394544865e+00,1.25404001461961805e+01
288,1,1.32607343614125881e+01,2,9.84013916999999992e+02,8.05111762835407063e+00,1.21804913436729247e+01
336,1,4.37525903935179628e+00,1,1.06348775300000011e+03,7.98848637567150899e+00,1.25018672740437360e+01
384,1,3.07131383467506964e+01,1,1.09813599700000009e+03,7.83555844881728270e+00,1.27195732996001034e+01
432,1,2.18954228857199951e-01,2,1.31152280900000005e+03,8.01017371382178389e+00,1.22924993313092852e+01
480,1,3.15956455752065324e-01,1,1.34647225600000002e+03,7.79760337648732449e+00,1.28479666377849888e+01
528,1,4.04693559217649508e+01,1,1.38112357700000007e+03,7.79128999304190017e+00,1.28610979882943024e+01
576,1,1.72757746134502810e+01,1,1.41581392800000003e+03,7.99494833646310532e+00,1.23675551925282043e+01
624,1,2.94242710556870151e+01,1,1.45051992100000007e+03,7.79772296042922530e+00,1.28953432709061815e+01
672,1,3.75060878798295008e+01,0,1.46481793100000004e+03,7.78722822249588287e+00,1.29323763380127730e+01
720,1,3.71085590867755144e+00,0,1.47916876600000001e+03,8.00351058912731261e+00,1.24027111636341569e+01
768,1,4.62124084522950938e+01,0,1.49351750599999991e+03,7.83776921910192836e+00,1.28655431605706276e+01
816,1,8.09282294955791741e+01,0,1.50783579099999997e+03,7.82322481340912113e+00,1.29263731990425974e+01
864,1,3.56955471054201041e+01,0,1.52219401500000004e+03,8.03285702127873513e+00,1.23969492129930661e+01
912,1,5.18083940829340435e+01,0,1.53653920199999993e+03,7.83507069143766977e+00,1.28587133434099332e+01
960,1,7.68451333489050938e+01,0,1.55087644999999998e+03,7.82486576175590720e+00,1.29310518960725673e+01
1008,1,2.96681118709269676e+01,0,1.56524866700000007e+03,8.03724981929611815e+00,1.24044987750085802e+01
1056,1,2.04568950907948022e+00,0,1.58002218700000003e+03,7.79661904926318439e+00,1.28698757598099220e+01
1104,1,2.87002496456227831e+01,0,1.59433518899999990e+03,7.78874943373237727e+00,1.29483629115839385e+01
1152,1,2.53710587268180703e+01,1,1.62900096899999994e+03,8.00136110321932748e+00,1.24385850167481351e+01
1200,1,1.23030855399973831e+01,1,1.66371970600000009e+03,7.79596421860733901e+00,1.28095681118488720e+01
1248,1,3.16773849165238133e+01,1,1.69867285399999992e+03,7.79430871146485948e+00,1.28840762048025059e+01
